dept_names,dept_index
SCHOOL OF NURSING,1
UMH HEM ONC ASSARIAN PROV PARK,2
UMH FACILITIES ADMINISTRATION,3
UMH FOOD PRODUCTION,4
CLOSED UNIV INFO SYSTEMS,5
UMH UH OPERATING ROOMS,6
FOOD STORES,7
UMH MEDICAL INFORMATION SERVICES,8
SCHOOL OF DENTISTRY,9
CLOSED AREA MAINT MECH SECTION,10
OFFICE OF STUDENT PUBLICATIONS,11
UMH CENTRAL STAFFING RESOURCE,12
CLOSED UMH HOUSEKEEP MAIN HOSP,13
INTERNAL MEDICINE DEPARTMENT,14
MOLEC & INTEGRATIVE PHYSIOLOGY,15
NEAR EASTERN STUDIES DEPARTMENT,16
LAW LIBRARY,17
BURSLEY RESIDENCE HALL,18
CLOSED RESEARCH SYSTEMS,19
DBN FINANCIAL SERVICES & BUDGET,20
ASSOC VP BUS OPER BUSINESS OFF,21
UMH BUILDING MAINTENANCE,22
SOUTH QUADRANGLE RESIDENCE HALL,23
GERALD R. FORD SCH OF PUBLIC POL,24
POLITICAL SCIENCE DEPARTMENT,25
LIBRARY TECHNICAL/ACCESS SRVCS,26
UMH MAIN HOSP MED/SURG NURS ADM,27
UMH INTERVENTIONAL NEPHROLOGY TE,28
CHEMISTRY DEPARTMENT,29
PATHOLOGY DEPARTMENT,30
ENGLISH LANGUAGE & LIT DEPT,31
SPACE PHYSICS RESEARCH LAB,32
"ATM, OCEANIC AND SPACE SCIENCES",33
CLOSED UMH MATERIAL MGMT-OPER,34
ALUMNI ASSOCIATION,35
EPIDEMIOLOGY DEPARTMENT,36
ECONOMICS DEPARTMENT,37
UMH SUPPORT SERVICES ADMIN,38
UMH CLINICAL RESEARCH CENTER,39
UMHHC ADMISSIONS & BUSINESS SVCS,40
CLOSED-MICHIGAN UNION,41
CLOSED-UMH MWH HOUSEKEEP DEPT,42
UMH ED-PHY ASST,43
HEALTH SERVICE DIRECTORS OFFICE,44
RADIOLOGY DEPARTMENT,45
HEALTH SERVICE BUSINESS OPER,46
CLOSED HOSPITAL ADMINISTRATION D,47
UMH UH RADIOLOGY SERVICES,48
SCHOOL OF MUSIC,49
UMHHC PSYCH HOSP CHILD/ADOLESCEN,50
BIOLOGY DEPARTMENT,51
HEALTH SERVICE BUILDING,52
CLOSED UMH MOTT PAT SVCS DIETETI,53
UMH PATIENT FOOD SERVICES,54
UMH UH NURSING 7D CCU,55
FLINT BIOLOGY DEPARTMENT,56
HEATING & UTILITIES OFFICE,57
SCHOOL OF BUSINESS ADMIN,58
SWEETLAND WRITING CENTER,59
AEROSPACE ENGINEERING,60
DEPARTMENT OF DANCE,61
STOCKWELL RESIDENCE HALL,62
HOUSING DIVISION-HILL AREA,63
PSYCHOLOGY DEPARTMENT,64
INSTITUTE FOR HUMAN ADJUSTMENT,65
MICHIGAN LEAGUE,66
OPHTHALMOLOGY & VISUAL SCIENCES,67
DIVISION OF EXECUTIVE EDUCATION,68
GRADUATE SCHOOL ADMINISTRATION,69
A ALFRED TAUBMAN ARCH & URB PLAN,70
CENTER FOR JAPANESE STUDIES,71
DBN CASL-NATURAL SCIENCES,72
PURCHASING AND STORES,73
CLOSED OFF OF ADMINISTRATIVE SYS,74
UMH INTERNAL MEDICINE CLINIC,75
UMH O/P MGMT I/P UNIT,76
SURGERY DEPARTMENT,77
RESIDENTIAL COLLEGE,78
MENTAL HEALTH RESEARCH INSTITUTE,79
BIOLOGICAL CHEMISTRY DEPARTMENT,80
DBN COL OF ENG-INDUST & SYS ENG,81
ORTHOPAEDIC SURGERY SECTION,82
PUBLIC HEALTH POLICY AND ADMIN,83
UNIV LIB-DESKTOP SUPPORT SERVICE,84
ANTHROPOLOGY DEPARTMENT,85
ART & ARCH CUSTODIAL DEPARTMENT,86
CLOSED PAINT SHOP,87
NUCLEAR ENGR & RADIOLOCIAL SCI,88
PHYSICS DEPARTMENT,89
MECHANICAL ENGINEERING,90
MARY MARKLEY RESIDENCE HALL,91
FINANCIAL OPERATIONS,92
SPONSORED PRGS & GEN'L REC,93
CLOSED-FLINT ADM DATA SVC CTR,94
ATHLETICS,95
NEUROLOGY DEPARTMENT,96
PHYSICAL MEDICINE & REHAB DEPT,97
CLOSED-UMH HOLDEN NURSE PAT UNIT,98
DIV OF RESEARCH DEVEL & ADMIN,99
SOE/AFFILIATES,100
UMH EXECUTIVE DIRECTOR,101
GROUNDS & WASTE MANAGEMENT SVCS,102
OFFICE OF THE REGISTRAR,103
HUMAN RESOURCES & AFF ACTION OFF,104
CLOSED-EXTENSION SERVICE,105
UMH PHYSICAL THERAPY UH,106
INT MED-HEMATOLOGY/ONCOLOGY,107
CLOSED ELECTRIC SHOP,108
CASHIER'S OFFICE,109
TECHNICAL COMMUNICATION,110
COLLEGE OF PHARMACY,111
U OF M TRANSPORTATION RES INST,112
BUILDING SERVICES DEPARTMENT,113
UMHHC BILLING/3RD PARTY COLLECTI,114
MEDICAL SCHOOL ADMINISTRATION,115
MED SCH MEDICAL EDUCATION ADMIN,116
UMHHC PSYCH HOSP ADULT AMB,117
UMH CLINICAL PATHOLOGY LABS,118
OFF PROVOST & EXEC VP ACAD AFF,119
MUSEUM OF ZOOLOGY,120
LABORATORY ANIMAL MEDICINE UNIT,121
MATHEMATICS DEPARTMENT,122
HOUSING DIVISION-SECURITY,123
RESIDENCE OPERATIONS,124
OXFORD HOUSES,125
MATERIALS SCIENCE & ENGINEERING,126
UMH H.O. PED/MED,127
CLOSED UMH MAT MGT EX-CART/PAT,128
UMH PERINATAL INTENSIVE CARE,129
VERA BAITS I RESIDENCE HALLS,130
LAW SCHOOL,131
UMH AD CLINICAL SERVICES,132
DBN COL OF ENG-MECHANICAL ENG,133
SCHOOL OF SOCIAL WORK,134
ANESTHESIOLOGY DEPARTMENT,135
LS&A BUDGET & FINANCE,136
UMH GYNECOLOGY/ENDO LABORATORY,137
FLINT SCHOOL OF MANAGEMENT,138
DBN CASL-HUMANITIES,139
GEOLOGICAL SCIENCES,140
PEDIATRICS & COMM DISEASES DEPT,141
UNIV LIB-MUSIC LIBRARY,142
UMHHC SECURITY & ENTRANCE SVCS,143
SOCIOLOGY DEPARTMENT,144
CTR AFRO-AMER & AFRICAN STUDIES,145
ASTRONOMY DEPARTMENT,146
ROMANCE LANGUAGES & LITERATURE,147
UMH AMBULATORY CARE ADMIN,148
UMH PSYCH HOSP SOCIAL WORK OFF,149
CENTER FOR POLITICAL STUDIES,150
DBN CASL-MATH & STATISTICS,151
OFFICE OF FINANCIAL AID,152
UMH FACILITIES INFORMATION SVCS,153
WILLOW RUN - HEW PROPERTY,154
DBN GENERAL & AUX SERVICES,155
FLINT MATHEMATICS DEPARTMENT,156
HISTORY DEPARTMENT,157
SURVEY RESEARCH CENTER,158
DBN CASL-SOCIAL SCIENCES,159
EAST QUADRANGLE RESIDENCE HALL,160
ENGLISH LANGUAGE INSTITUTE,161
UMH MCHC-RESPIRATORY CARE,162
UMH UH-RESPIRATORY CARE,163
ADMISSIONS,164
FLINT CAMPUS SERVICES,165
CLOSED-FLINT CAMPUS SERVICES,166
"DBN COL OF ARTS, SCI & LETTERS",167
HONORS PROGRAM,168
PAYROLL OFFICE,169
INSTITUTE OF GERONTOLOGY,170
CLOSED-CROWN & BRIDGE-DENTISTRY,171
POPULATION STUDIES CENTER,172
CONTINUING LEGAL EDUCATION INST,173
UMH TC - LUNG POST,174
UMH UH NURSING 6A REHAB,175
MICH MEMORIAL PHOENIX PROJECT,176
HERBARIUM,177
UMHHC PATIENT ACCOUNTS,178
OTORHINOLARYNGOLOGY DEPARTMENT,179
ELECTRICAL ENGR & COMPUTER SCI,180
UMH RADIATION ONCOLOGY,181
COUZENS RESIDENCE HALL,182
SCHOOL OF EDUCATION,183
UMH H.O. UROLOGY,184
HEALTH SERVICE CLINIC OPERATIONS,185
CLOSED-UNIT MGMT WOMENS/HOLDEN,186
DERMATOLOGY DEPARTMENT,187
FLINT UCEN - OPERATIONS,188
KRESGE HEARING RESEARCH INST,189
PRINTING SERVICES DEPARTMENT,190
SCHOOL OF ART AND DESIGN,191
UMH TC - HEART PRE,192
SCH OF NAT RESOURCES & ENVIRON,193
HOUSING DIVISION-CENTRAL AREA,194
DBN SCHOOL OF MANAGEMENT,195
PE-PROJECT MANAGEMENT,196
FLINT RESEARCH & FACULTY DEVELMT,197
FLINT PROVOST,198
CLOSED-HOSP ASSOC DIR OF APR OFF,199
CTR FOR THE EDUCATION OF WOMEN,200
CLOSED-URBAN TECH & ENVIRON PLAN,201
DEPARTMENT OF FAMILY MEDICINE,202
UMH PSYCHIATRIC NURSING,203
NEUROSURGERY SECTION,204
UMH SURGERY/DIAGNOSTIC TREATMENT,205
DBN ACADEMIC AFFAIRS,206
CAREER CENTER,207
CLOSED-ASST TO VP&CHIEF FIN OFFR,208
FLINT BUDGET&INSTITUTNL ANALYSIS,209
PLASTIC SURGERY SECTION,210
GERMANIC LANGUAGES & LIT DEPT,211
CLOSED-CENTER RES ECONOMIC DEVEL,212
UMHHC SAFETY MANAGEMENT SERVICES,213
CIVIL & ENVIRONMENTAL ENGR,214
UMH GI CALL CENTER,215
UMH H.O. CORE FAMILY MEDICINE,216
CLOSED COMMUNITY SERVICES OFF,217
UMH AMBULATORY CARE CLERICAL OFF,218
CLOSED UMH MATERIAL MGT ADM OFF,219
ENVIRONMENTAL HEALTH SCIENCES,220
CHEMICAL ENGINEERING DEPARTMENT,221
FLINT REGISTRAR,222
UMH PSYCH HOSP UNIT MGT SERVICES,223
LAWYERS CLUB,224
DBN PHYSICAL PLANT - ADMINISTRAT,225
PSYCHIATRY DEPARTMENT,226
